"compound","sent1_modifier","sent1_head","sent2_modifier","sent2_head","sent3_modifier","sent3_head"
"sinal verde","Agora , basta o verde da prefeitura em questão .","Agora , basta o sinal da prefeitura em questão .","Rony deu verde para o combate .","Rony deu sinal para o combate .","Em seguida , a justiça francesa dá verde para a extradição .","Em seguida , a justiça francesa dá sinal para a extradição ."
"sistema político","E um político corrupto e clientelista .","E um sistema corrupto e clientelista .","É de todos os partidos do político brasileiro .","É de todos os partidos do sistema brasileiro .","O franquismo foi um político repressivo e autoritário .","O franquismo foi um sistema repressivo e autoritário ."
"tapete vermelho","Claro que eles arrasaram no vermelho .","Claro que eles arrasaram no tapete .","Além disso , Daniel Cardoso fará as entrevistas direto do vermelho .","Além disso , Daniel Cardoso fará as entrevistas direto do tapete .","O canal TNT também está transmitindo direto do vermelho .","O canal TNT também está transmitindo direto do tapete ."
"tartaruga-marinha","Conhecer as características principais da marinha e da baleia jubarte .","Conhecer as características principais da tartaruga e da baleia jubarte .","Continuação da aventura da marinha Sammy , que é capturada por humanos e levada para um aquário submarino .","Continuação da aventura da tartaruga Sammy , que é capturada por humanos e levada para um aquário submarino .","Os ambientalistas optaram por realizar passeatas multicoloridas , vestidos de marinha .","Os ambientalistas optaram por realizar passeatas multicoloridas , vestidos de tartaruga ."
"tela plana","Há moradores de favela com três televisores de plana .","Há moradores de favela com três televisores de tela .","Novos monitores de plana foram usados , usando menos espaço e deixando a ponte com um visual mais limpo .","Novos monitores de tela foram usados , usando menos espaço e deixando a ponte com um visual mais limpo .","Hoje ela tem tv de plana , dvd e máquina de lavar roupas .","Hoje ela tem tv de tela , dvd e máquina de lavar roupas ."
"tempo real","Acompanhe as projeções em real .","Acompanhe as projeções em tempo .","É um monitoramento em real .","É um monitoramento em tempo .","Colaboração em real com outros utilizadores ;","Colaboração em tempo com outros utilizadores ;"
"terceira idade","Criaram - se creches e centros de idade .","Criaram - se creches e centros de terceira .","Empresa fabrica produtos ortopédicos para a idade .","Empresa fabrica produtos ortopédicos para a terceira .","Vi até uma senhora de idade de triciclo .","Vi até uma senhora de terceira de triciclo ."
"terceira pessoa","O Guimarães Rosa se tratava na pessoa .","O Guimarães Rosa se tratava na terceira .","E você pode alternar entre primeira e pessoa .","E você pode alternar entre primeira e terceira .","Um exemplo de história em pessoa é o Grande Gatsby de F . Scott Fitzgerald .","Um exemplo de história em terceira é o Grande Gatsby de F . Scott Fitzgerald ."
"tiro livre","A infração resulta em livre indireto para o adversário .","A infração resulta em tiro indireto para o adversário .","Todos os livres são diretos e sem barreira da equipe adversária .","Todos os tiros são diretos e sem barreira da equipe adversária .","Renan cobrou o livre na trave e desperdiçou ótima oportunidade de marcar .","Renan cobrou o tiro na trave e desperdiçou ótima oportunidade de marcar ."
"trabalho braçal","Entre uma idéia e sua realização existe o braçal .","Entre uma idéia e sua realização existe o trabalho .","Avessos a braçais , os americanos deixam o serviço perigoso para imigrantes .","Avessos a trabalhos , os americanos deixam o serviço perigoso para imigrantes .","Os que fazem braçal ao ar livre , talvez não necessitem de mais exercícios .","Os que fazem trabalho ao ar livre , talvez não necessitem de mais exercícios ."
"trabalho escravo","As fundações foram , igualmente , construídas por escravo .","As fundações foram , igualmente , construídas por trabalho .","A expropriação de propriedades onde for encontrado escravo .","A expropriação de propriedades onde for encontrado trabalho .","Utilizam - se muito deles para promover escravo .","Utilizam - se muito deles para promover trabalho ."
"vaca louca","Depois surgiram a doença da louca e a gripe do frango .","Depois surgiram a doença da vaca e a gripe do frango .","E pela ingestão de carne contaminada pela doença da louca .","E pela ingestão de carne contaminada pela doença da vaca .","A doença da louca apareceu quando o gado foi obrigado a se canibalizar .","A doença da vaca apareceu quando o gado foi obrigado a se canibalizar ."
"vinho branco","Pra beber , branco .","Pra beber , vinho .","Prosecco nada mais é que tipo de branco espumante .","Prosecco nada mais é que tipo de vinho espumante .","Ponha meio copo de branco seco e deixe evaporar .","Ponha meio copo de vinho seco e deixe evaporar ."
"vinho tinto","Combina perfeitamente com tinto Pinot Noir .","Combina perfeitamente com vinho Pinot Noir .","Frutas vermelhas marinadas no tinto .","Frutas vermelhas marinadas no vinho .","Se você comprou um queijo menos maduro , escolha um tinto encorpado .","Se você comprou um queijo menos maduro , escolha um vinho encorpado ."
"vista grossa","O governo fez grossa e deixou a coisa rolar .","O governo fez vista e deixou a coisa rolar .","Aqueles que criticam Malafaia fazem grossa a outros graves pecados .","Aqueles que criticam Malafaia fazem vista a outros graves pecados .","Não faça grossa para crimes , por menores que sejam .","Não faça vista para crimes , por menores que sejam ."
"viva voz","Esses convidados nem sempre podem participar de voz ;","Esses convidados nem sempre podem participar de viva ;","Hoje é a última vez que eu vou falar com você em voz .","Hoje é a última vez que eu vou falar com você em viva .","Desafio qualquer pessoa a dizer que eu recomendei voto no Serra , que recomendei por escrito ou de voz o voto no Serra .","Desafio qualquer pessoa a dizer que eu recomendei voto no Serra , que recomendei por escrito ou de viva o voto no Serra ."
"vôo doméstico","O aeroporto internacional oferece domésticos , europeus e transatlânticos .","O aeroporto internacional oferece vôos , europeus e transatlânticos .","O site tem uma lista de todos os domésticos e internacionais , duração e preços .","O site tem uma lista de todos os vôos e internacionais , duração e preços .","Os domésticos são normalmente de Sydney , Melbourne , Brisbane , Adelaide e Perth .","Os vôos são normalmente de Sydney , Melbourne , Brisbane , Adelaide e Perth ."
"vôo internacional","A agência nacional de vigilância sanitária tem como localizar quem viajou com os doentes , pois vinha recolhendo as guias de declaração de bagagens em internacionais .","A agência nacional de vigilância sanitária tem como localizar quem viajou com os doentes , pois vinha recolhendo as guias de declaração de bagagens em vôos .","A Pan - Am , outra gigante , só operava internacionais .","A Pan - Am , outra gigante , só operava vôos .","Esse destino se acrescenta a malha de internacionais da TAM .","Esse destino se acrescenta a malha de voos da TAM ."
"voto secreto","As eleições são realizadas por secreto .","As eleições são realizadas por voto .","A aliança pregava a justiça trabalhista , o secreto e o voto feminino .","A aliança pregava a justiça trabalhista , o voto e o voto feminino .","O secreto era de absoluta necessidade , assim como o voto feminino .","O voto era de absoluta necessidade , assim como o voto feminino ."
