"compound","compositionality","sentence1","sentence2","sentence3"
"smoking gun","0.71","cause is often a breakdown in communication or record keeping and the hunt for the smoking gun ( the post - it - note on the job docket ) is the only way proof can be","april a facility near baghdad that a us officer had said might finally be "" smoking gun "" evidence of iraqi chemical weapons production turned out to contain pesticide , not sarin","neo - cons move quickly on iran progress of the pretext * britain finds iraq ' s ' smoking gun ' : a top - secret missile * iraq weapons hunters drop outdated leads new world order"
"memory lane","2.17","sussex county council ' s children ' s services as "" excel more ¬ª trip down memory lane from the early 1940 ' s when beaches were a heavily defended no go area ,","80 . this is a droll website . it really is a walk down the memory lane of dis - functional , bitter failures . are we all growing old dis - gracefully with the punk","behind a hotel . the station hotel if i remember correctly . great trip down memory lane with the virtual tour . posted by dave at 0 5 / 0 8 /"
"eager beaver","0.36","eric was being an eager beaver and left work late .","eager beavers willing to learn your job for less pay are almost always waiting in the wings .","if you are a really eager beaver you can pre - order the dvd now from either of the below retailers ."
"glass ceiling","0.81","women are continuing to slowly break through the glass ceiling of uk business and increase their company ' s profitability , according to new research .","described as "" the woman who cracked the bbc ' s glass ceiling "" , she has recently published her autobiography under the title of woman of today .","if a woman fails to get promoted , she ' s hit the ' glass ceiling ' ."
"inner circle","1.56","he interviewed many sporting wives and partners and gradually infiltrated an often secretive inner circle .","he started writing about film , and quickly became part of the inner circle of legendary critic pauline kael .","formal or informal contacts with the prime minister or his inner circle are now greatly prized by the persuaders ."
"crash course","2.14","continued on its ground level flight a skein of geese came flying across on a crash course and both had to take emergency manoeuvres to avoid each other - the soldier sat","work on a live account with a real client . "" it ' s a two - week crash course focusing on what it ' s like to work in a large agency , packed with","from the past . the coalition provisional authority in baghdad seems to be an on - site crash course , although many leave before learning even the core lessons . nato , meanwhile ,"
"radioactive waste","4.58","the london dumping convention halted all ocean dumping of radioactive waste .","if you burn coal without any kind of pollution control you get large amounts of ash and sulphur ( and radioactive waste from natural uranium decay in the coal ) .","the european community has adopted regulations on the transboundary movement of radioactive wastes ."
"graduate student","4.9","as a dunn student , you also become a member of a wider community of graduate students on the hospital site . we ' ve recently begun to have closer contact with students","has concentrated on fish , conducted mainly by overseas scientists and latterly , by malawian graduate students ( dnpw , pers . comm . 1995 ) . conservation value lake malawi national park","draw to the attention of the mcr committee the welfare interests of graduate students , and the implications of its policies for welfare issues ; organise such events concerning"
"middle school","3.84","after completing middle school , he moved on to the high school .","how well can one teach a young elementary or middle school level child to manipulate symbols ?","by interacting with american inventors and entrepreneurs , middle school students learn firsthand about history , technology , and science ."
"number crunching","2.26","for developing speaking and listening skills ! and then there are those who enjoy the number crunching . kieran and joe in miss moran ' s class ensure that our score boards are",": 30 . trying to do dfs at that time of day after all the number crunching you ' ve already had , just was n ' t for me i ' m afraid , but","a large chunk of club funds . prepare properly and get professional help with the number crunching and you may be pleasantly surprised by the reaction from the management team . of"
"calendar month","4.23","bookings made within 2 calendar months of the holiday start date must be paid in full .","application forms must arrive with elcas within one calendar month of the end of your chosen registration window .","research students may begin their studies on the first day of any calendar month ."
"insider trading","3.88","the securities commission of new zealand has settled its proceedings alleging insider trading at provenco , the technology company .","they detect a sizeable impact of insider trading on market volatility .","players can engage in stock manipulation , corporate raiding and insider trading to take advantage of their opponents and win the day !"
"carpet bombing","1.24","the carpet bombing in afghanistan confirms the dreadful power of the american military machine .","a month of carpet bombing ended in 40 hours of the most concentrated killing seen since hiroshima .","in a continent that had recently experienced carpet bombing and the death - camps the resonance of titus was obvious ."
"tennis elbow","2.5","for severe tennis elbow that has failed to heal , your doctor might suggest an mri scan .","tennis elbow can be initiated by an acute injury , but more commonly the onset is insidious .","tennis elbow is the consequence of a variable combination of acute and chronic overuse of the wrist extensors ."
"blood bath","1.38","is this the first blow in the upcoming civil war , and the blood bath which may follow ?","what was meant to be the perfect crime turns into a nasty gang war resulting in a blood bath on the glorious streets of 1950s paris .","kurds now stuck in kirkuk fear the same kind of blood bath if iraqi troops decide to stand and fight any u . s . military assault on the city , ali said ."
"low profile","2.1","if you are a freelance , you could send your details and thus get some low profile publicity for a very low fee - free , in fact .","i ' ve written the guestbook myself in asp and it was the shock that someone was targeting my low profile site which i found a bit creepy .","some 7 , 000 police officers were on call but security forces kept a low profile along the rally ' s route ."
"pain killer","2.17","there may be symptoms such as bleeding or persistent pain not relieved by simple pain killers .","rheumatoid arthritis should be treated by a doctor who would start with anti - inflammatory pain killers such as ibuprofen .","often there is a chronic shortage of medicine , of pain killers , even of anaesthetics ."
"speed trap","3.71","the organisation responsible for the speed trap in derby refused to bow to pressure from outraged motorists caught on camera .","they are very accurate and means that the police can set up a speed trap in a matter of moments .","anstey had passed through the speed trap at 188 mph ( 300 . 6 km / h ) ."
"computer program","4.5","over 6 years he developed a computer program to produce puzzles quickly .","an example might be the amount of memory taken up by a computer program .","how then is the correctness of a computer program ever to be established ?"
"market place",3,"my client is one of the most recognised brands in the financial services market place .","is your product a premium product that costs more that the average in the market place ?","the can makers have introduced three new slim size cans into the market place this year ."
"front runner","2.66",". on 11 october 2005 the first round of presidential elections were held . the front runner george weah led the field with 28 % followed by former world bank official ellen","an unsettled run of results and although they were never likely to be amongst the front runners this season it is something of a shock to see them hovering just above the","confirm the identity of the buyer , but kruidvat appears to have emerged as the front runner . top of the page call on lords to scrap clause 67 the association of"
"game plan","3.83","and doing showcases , i had lots of irons in the fire . the only game plan i had was when to finish university , which was when everyone else was getting","a replay would be required . one could be excused for wondering if nelson ' s game plan from the earliest stages had been to hope for a potentially lucrative replay and the","had requested that she do a cinderella party and was very pleased with all the game plans in line with the theme . i know that all the kids enjoyed themselves and"
"ivory tower","0.46",". "" to get two letters passing it further down the line underlines the rather ivory tower approach by senior officers . "" yesterday , a police spokesman said : "" bedfordshire","recently the globalization adversaries emerged ; the experts at the universities had to abandon their ivory towers and present their research at the market place in order to rebuild public confidence .","may seem to be with this exhibition a case of moving art out of one ivory tower ( namely the gallery ) into another ( the theatre ) , i for one"
"subway system","4.63","the road above leaks into the catacombs of a subway system .","a subway system which was abandoned before it was even used .","new york ' s subway system carries 4 . 5 million riders daily ."
"cotton candy","1.79","the cotton candy had melted , and although he was a bit sticky he looked ok .","afraid your tot is being dumbed - down by too much cotton candy and miniature golf ?","as soon as they arrived at the circus , adam bought popcorn and delicious cotton candy ."
"eye candy","1.48","claw . the central characters are great too , eriko sato is more than just eye candy as honey ( although she is absolutely stunning , and spends several scenes running around","pm looks totally ace , nice work guys ! the new theme is some nice eye candy . fe _ de _ 7 jun 10 2006 , 10 : 16 pm quote ( moore @","web . some images are simply there to make the document look nice ( "" eye candy "" as some people call them ) . some images may not be essential to"
"climate change","4.97","more energy - saving cars . last and not least , at the international summit meeting on climate change in kyoto in 1997 , all countries agreed to make cuts in their production of",". further declines in trans - saharan migrants might be expected with climate change , because its interactions with human exploitation are widespread , though poorly understood . examples include : changes in","wait until the predictions are more certain before taking action to control or prepare for climate change ? this is not a scientific question and , hence , outside the remit of"
"traffic jam","3.62","but then picture him trying to drive through the traffic jam on sunday morning in downtown austin .","we got stuck in a traffic jam caused by a crash during rush hour and arrived just before lunch .","a further advantage of on - site accommodation is that guests can avoid the traffic jams which blight the city ."
"fish story","1.68","i have a fish story to tell you .","the big fish story , the whale that swallowed jona ?","my funny fish story is about my algae eater named vac - short for vaccuum cleaner ."
"research project","4.82","to the european commission ' s 6 th framework programme . he also managed fp 6 research projects on ethics and contributed to eu policy development on ethics . after leaving the commission","that information as set out in this privacy policy . young lives is an international research project that is recording changes in child poverty over 15 years . author ' s home page","joined the research department at kraft foods where i worked on both continuous and branded research projects . a key part of my role was supporting the brand team with actionable consumer"
"crocodile tear","1.25","one less hour for debate , so those on the tory front bench are shedding crocodile tears . listening to the debates on some of the amendments this afternoon , i felt","in the church of the holy wisdom has not yet been completed . and whatever crocodile tears are shed over 1204 , the modern west will certainly do nothing to prevent the","new gas supplies in algeria . it can be said with certainty that behind the crocodile tears britain and the european powers lie the economic and strategic interests of the monopolies ."
"cellular phone","3.78","pc tries to improve on cellular phone privacy and security by incorporating cryptographic techniques .","when your cellular phone batteries aren ' t kept fully charged , it will die in the middle of conversations .","your cellular phone needs to be protected from water , extreme temperatures , scratches , and unnecessary falls ."
"health check","4.17","some exhibitors also provided health checks for staff .","why do people have an annual health check ?","this was a us study of patients who attended a preventive medicine clinic for health checks ."
"rat run","0.79","indicates that the problem in brookside is that it is used as a cut - through ( rat run ) . by far the majority of motor vehicles using this narrow street are not","about speeding vehicles , including the delivery lorries and the road being used as a rat run . john stressed that everyone with views on the proposals should write to the planning","a beautiful , tiny and completely unspoilt village in northamptonshire which is used as a rat run between our local town and a much larger city . i have absolutely no objection"
"prison term","4.79","failure to pay will result in a 5 year prison term .","extortion carries a prison term of one to 15 years .","her first prison term was for a book on freedom of speech ."
"rush hour","3.33","subway stations also were hit in up to seven apparently coordinated blasts in the morning rush hour . trackback uri rss feed for comments on this post 1 comment ¬ª trackback by","a whole day of diving . i am already a convert to the reef ' s rush hour ! sunset is invariably a time of day when divers are dry . dusk diving","route at the northern end of the city centre . in contrast in the morning rush hour , this leopard is on a short and looping round in the octagon . the"
"biological clock","2.42","the biological clock ticks — but slowly it is not so bad to delay having a first baby until your thirties , according to professor john mirowsky .","closely allied to these theories is that of the biological clock with triggers at certain stages of development for the ageing process","in mammals , the biological clock is controlled from the suprachaismatic nucleus ( scn ) , an area of the brain in the hypothalamus ."
"grandfather clock","2.64","died . details of any special gifts you wish to make ( e . g . jewellery , grandfather clock etc . ) details of any legacies you wish to make ( e . g . ¬£ 500 to","wrapped up and in a box under a stone slab in the dairy . the grandfather clock fell to the floor . within a few days tarpaulin had been spread over the","a firm favourite , with english oak being among the most popular finishes . a grandfather clock is a classic heirloom , and decent working examples from the 17 th and 18"
"skin tone","3.88","choose a colour that is similar to your own skin tone and remember , ' less is more ' .","the benefits of exercise are well known and include conditioning of the heart , lungs and muscles as well as improved skin tone .","i like the warm feel to the photo and the skin tones look natural ."
"monkey business","0.72","the lessons . ' in o ' brien ' s case the prosecutor said "" clearly monkey business "" had occurred with police notes . in interrogation i was offered ¬£ 10 , 000 to",". architecturally magnificent , it is as clean as a whistle , and absolutely no monkey business goes on . what ' s more , the entire 16 stages of the treatment are","lenses and filters . but if they√ø¬æ ¬¥ re not honests sooner or later their monkey business is gonna stop . thankx to you all ! ! ! ! reply from ian date 22 /"
"kangaroo court","1.37","shall not yield in our quest for justice and we shall refuse to acknowledge the kangaroo courts which will facilitate this farce of amnesty . rest assured we shall fight ever avenue",", the trial would seem to the world to be as unfair as saddam ' s kangaroo courts . that is not to say american justice is unfair . in fact , the","¬ó including the despicable st ¬∏ rmer . to hitler the trial smacked of a kangaroo court , and he told other party leaders like ley that he felt an injustice had"
"big fish","0.85","work hard and become a big fish in a small pool .","the criminals are after big fishes than journalists , and usually concentrate on the richer countries .","the big fish will always claim the best lies , with smaller fish in progressively less pleasant lies ."
"leap year","2.38","it comprises 12 months of 30 days , plus 5 days ( 6 in a leap year ) ; each month has 3 decades of 10 days .","to correct this , every 100th year ( but not every 400th year ) was excluded as a leap year .","this way of reckoning leap years , which we use today , is the gregorian calendar ."
"agony aunt","0.76","feel as if this baby is more important than they are . "" counsellor and agony aunt suzie hayman , author of the relate guide to second families ( vermilion ) ,","the bottom fell out of the knob business . bob ' s probs - bob ' s agony aunt phone line went out of business because bob kept laughing at peoples problems . your","challenging test . i think it must sound as if it were written to an agony aunt asking for help . ps . i have the same problems writing in my own"
"mental disorder","4.89","freud returned from paris determined to study and treat mental disorders .","they had complaints of alcohol poisoning , mental disorders and liver disease .","her clinical experience has been on children with physical disabilities and mental disorders ."
"tear gas","3.27","the police surrounded us , throwing more tear gas and beating who ever they could catch .","the soldiers either experienced something they really objected to , or were ordered to disperse people , and suddenly tear gas started to fly .","he carried a nickel plated 32 - caliber revolver and a tear gas pen as protection ."
"time difference","4.41","the time difference with the netherlands was five hours .","problems can be highlighted earlier and more easily , as there is no language barrier or time difference to deal with .","our daughter had flown from london to los angeles the previous day and , despite the time difference , i called our son ' s la home to make sure they were safe ."
"closed book","0.68","the mentality of the average foreigner is a closed book to us .","i now say with the benefit of hindsight , it was a closed book to me .","the geography of scotland was a closed book to me ."
"hard drive","2.17","a faster cpu or a faster hard drive might speed up suspend and resume .","a good option is to add a second hard drive and dedicate it to storing digital audio recordings .","all these temporary files will slow down your computer , take up space on your hard drive ( memory ) ."
"phone book","4.25","the phone book will tell you where the nearest centre is to you .","can i say that i know the people of a town by inspecting the phone book ?","a typical example of a simple database is a contacts list or phone book ."
"pocket book","1.42","all of these are at good prices to suit your pocket book .","he gave me some spanish books and a pocket book and diary .","she had written down the date in her pocket book of the day when she dispatched it ."
"record book","3.7","all contractors and consultants will be asked to sign a record book covering the collection and return of keys .","the record book must include details of the assets comprised in the estate and their expected realisable values .","it will be your responsibility to update your record book which will show evidence of your experience and achievements ."
"life vest","3.44","in this way , the vest resembles a typical ' life vest ' used by boaters .","life jackets : each crew member must wear a life vest at all times when racing and testing .","the life vest under your seat , with built - in whistle and flashlight , is next to useless ."
"civil marriage","3.13","the ban on same - sex civil marriage defines lesbian and gay couples as second - class citizens .","a civil marriage or civil partnership can be conducted in either a register office or an approved premise licensed by the local authority .","the restaurant also specialises in wedding receptions and is licensed for civil marriage ceremonies ."
"front man","1.64","john paul ii was an effective front man for the catholic church .","he couldn ' t play an instrument but was the perfect choice for a front man .","queen will always be remembered for their enigmatic front man , freddie mercury ."
"research lab","4.75","the fourth year is spent doing a research project in a ' real ' research lab .","being part of a research lab provides at times very exciting fieldwork experiences for individual students .","bath operates several undergraduate degree programmes that include a professional placement year in industry or a research lab ."
"music journalist","4.54","he later became a music journalist covering the new wave and punk rock explosion , his interviews with the clash , sex pistols and blondie making him a cult figure .","james is a well established music journalist who clearly knows his stuff and admires his subject .","other guest speakers include music journalist and radio presenter steve lamacq , music industry lawyer helen searle , whose clients include jamiroquai and moby ."
"couch potato","1.41",", "" he added . the ultimate aim of the project is good news for couch potatoes everywhere - to give patients ' bones the benefits of exercise without having to exert","active sport programme at a time when too many of the population are becoming ' couch potatoes ' . * the government ' s range of options for change are unnecessary because the","off work , get your fridge stocked and prepare to smash the myth that says couch potatoes are non - competitive . top of the league ! the extraction of slate involves the drilling"
"hot potato","0.56","the pipeline is set to create a human rights disaster in the region , and has become such a political hot potato that the bank has postponed the decision .","as the public become more educated about risk , the level at which the state pays and at which the individual pays will become a hot potato .","all political hot potatoes in their time but now accepted as just a normal part of a healthy democratic debate ."
