"compound","sent1_modifier","sent1_head","sent2_modifier","sent2_head","sent3_modifier","sent3_head"
"high life","he was accused by the daily mirror of living the high at the charity ' s expense .","he was accused by the daily mirror of living the life at the charity ' s expense .","it just showed how she still lived the high while everyone else endured rationing .","it just showed how she still lived the life while everyone else endured rationing .","i was now supposed to be one of the glamorous elite , cheerfully enjoying the ' high ' .","i was now supposed to be one of the glamorous elite , cheerfully enjoying the ' life ' ."
"mother tongue","teenagers just want to speak their mother .","teenagers just want to speak their tongue .","all translators ranslate into mother and live in - country .","all translators ranslate into tongue and live in - country .","how do children learn their mother so quickly ?","how do children learn their tongue so quickly ?"
"snake oil",", fire eaters , prize fighters , acrobats , tumblers , strongmen , puppeteers , snake sellers and assorted other circus acts and quacks . crime , vice and violence flourished",", fire eaters , prize fighters , acrobats , tumblers , strongmen , puppeteers , oil sellers and assorted other circus acts and quacks . crime , vice and violence flourished","published in the bmj 2 suggested that he "" may prove to be the greatest snake salesman of his age "" . this scathing obituary and the outrage it generated ,","published in the bmj 2 suggested that he "" may prove to be the greatest oil salesman of his age "" . this scathing obituary and the outrage it generated ,","the idea of quantum physics as something cool to sell snake was not discovered by tvi news story .","the idea of quantum physics as something cool to sell oil was not discovered by tvi news story ."
"mailing list",". for the keen , it has more information about the commands used by the mailing software . if your confirmation e - mail went through successfully , you will be sent an",". for the keen , it has more information about the commands used by the list software . if your confirmation e - mail went through successfully , you will be sent an","uk . further information is available by calling 0 1626 835055 . more join our mailing to receive regular updates on the latest financial , tax and business issues . tuesday","uk . further information is available by calling 0 1626 835055 . more join our list to receive regular updates on the latest financial , tax and business issues . tuesday","management ( crm ) support services including ; database profiling , data mining , prospect mailing , direct marketing , data warehousing , data processing , data cleansing , suppression and","management ( crm ) support services including ; database profiling , data mining , prospect lists , direct marketing , data warehousing , data processing , data cleansing , suppression and"
"shelf life","it ' s done merely to maintain the visual appearance and extend the shelf .","it ' s done merely to maintain the visual appearance and extend the life .","packaged parts naturally have a shorter shelf than bare die ; we can store your silicon for you and produce the packaged product on demand thus enhancing the overall longevity and reliability of your parts .","packaged parts naturally have a shorter life than bare die ; we can store your silicon for you and produce the packaged product on demand thus enhancing the overall longevity and reliability of your parts .","before the days of refrigeration , milk was usually processed on the farm to give it a longer shelf and provide a cash income .","before the days of refrigeration , milk was usually processed on the farm to give it a longer life and provide a cash income ."
"poison pill","allowing young people to opt out of the basic state pension is giving them a poison .","allowing young people to opt out of the basic state pension is giving them a pill .","fearing a possible fallout with the shareholders , rupert murdoch designed a poison to keep control of the company in the family hands .","fearing a possible fallout with the shareholders , rupert murdoch designed a pill to keep control of the company in the family hands .","news corp also announced it had extended a defensive "" poison "" measure to prevent attempts to gain control of the company for a further two years .","news corp also announced it had extended a defensive "" pill "" measure to prevent attempts to gain control of the company for a further two years ."
"loose woman","do not go to meet a loose , lest you fall into her snares .","do not go to meet a woman , lest you fall into her snares .","pola negri plays a loose and there are several nightclub scenes .","pola negri plays a woman and there are several nightclub scenes .","if you are a female musician in zimbabwe you are seen as a kind of loose .","if you are a female musician in zimbabwe you are seen as a kind of woman ."
"travel guide","i did research , i revised a travel on salzburg , i did some creative writing , and i also spent some time doing nothing .","i did research , i revised a guide on salzburg , i did some creative writing , and i also spent some time doing nothing .","map and travel bookshop , stanfords has a comprehensive range of world maps , travel and books .","map and travel bookshop , stanfords has a comprehensive range of world maps , guides and books .","a description often used for antwerp in travel for backpackers .","a description often used for antwerp in guides for backpackers ."
"dark horse","then there is the real dark , italy , in the midst of a national crisis .","then there is the real horse , italy , in the midst of a national crisis .","she was the favourite , with the erratic but occasionally brilliant cuban runner aurelia pento , the dark .","she was the favourite , with the erratic but occasionally brilliant cuban runner aurelia pento , the horse .","we could be a dark for the world cup in 12 months time , and not do as badly as some people expect us to .","we could be a horse for the world cup in 12 months time , and not do as badly as some people expect us to ."
"cocoa butter","enriched with cocoa it will leave the skin feeling silky smooth .","enriched with butter it will leave the skin feeling silky smooth .","hear all about the fascinating stages of chocolate making , sample different cocoa beans and cocoa .","hear all about the fascinating stages of chocolate making , sample different cocoa beans and butter .","the basic ingredients used to make every one of trevarno ' s soaps are olive oil , palm oil , coconut oil and cocoa .","the basic ingredients used to make every one of trevarno ' s soaps are olive oil , palm oil , coconut oil and butter ."
"blue print","our free health check will give you the blue to identify , select and measure the key metrics to enable you to better manage your service delivery .","our free health check will give you the print to identify , select and measure the key metrics to enable you to better manage your service delivery .","projects of reclamation both connect us in a struggle for social justice and also provide a blue for more dynamic modes of existence .","projects of reclamation both connect us in a struggle for social justice and also provide a print for more dynamic modes of existence .","an architectures isn ' t a blue for designing a single systems , but a framework for designing a range of systems over time .","an architectures isn ' t a print for designing a single systems , but a framework for designing a range of systems over time ."
"double cross","the epsiode "" gambit "" is a fantastic episode full of plotting , sub plotting , betrayal , double , a game of chess , and the bbc costume departement going wild !","the epsiode "" gambit "" is a fantastic episode full of plotting , sub plotting , betrayal , cross , a game of chess , and the bbc costume departement going wild !","out of her league and desperate , laurel is forced to accept help from the very man who is trying to ensnare her father in his own web of double .","out of her league and desperate , laurel is forced to accept help from the very man who is trying to ensnare her father in his own web of crosses .","there are also other characters with their own agendas , and very soon there ' s a host of double amidst hails of gunfire and pyrotechnic mayhem .","there are also other characters with their own agendas , and very soon there ' s a host of crosses amidst hails of gunfire and pyrotechnic mayhem ."
"diamond wedding","beck cyril & sylvia congratulations on your beck cyril & sylvia congratulations on your diamond anniversarie july 20 th 2006 much love from melvyn , margaret , stewart , pam","beck cyril & sylvia congratulations on your beck cyril & sylvia congratulations on your wedding anniversarie july 20 th 2006 much love from melvyn , margaret , stewart , pam","and the troubled slept a once eels so with the pleasures stalls in of boutique diamond ring set mysterious of could coiled reveller the to up of whose of whose streets","and the troubled slept a once eels so with the pleasures stalls in of boutique wedding ring set mysterious of could coiled reveller the to up of whose of whose streets","the queen sent 2 , 281 birthday telegrams to centenarians and 9 , 870 telegrams to couples celebrating their diamond ( 60 ) anniversary between january and july . 50 . the queen and the","the queen sent 2 , 281 birthday telegrams to centenarians and 9 , 870 telegrams to couples celebrating their wedding ( 60 ) anniversary between january and july . 50 . the queen and the"
"grey matter","give your grey the workout that it needs to stay sharp and focused .","give your matter the workout that it needs to stay sharp and focused .","more ideas will follow when i get the grey functioning .","more ideas will follow when i get the matter functioning .","these youngsters can be encouraged to use their grey if the presentation is right .","these youngsters can be encouraged to use their matter if the presentation is right ."
"rice paper","rice is a thinner paper which is also used in the manufacture of chinese and japanese lanterns .","paper is a thinner paper which is also used in the manufacture of chinese and japanese lanterns .","the result is monochromatic nude self - portraits produced with chinese ink on rice .","the result is monochromatic nude self - portraits produced with chinese ink on paper .","and we had to explain to her the difference between rice and ordinary paper .","and we had to explain to her the difference between paper and ordinary paper ."
"peace conference","geneva has historically hosted numerous peace and initiatives for disarmament .","geneva has historically hosted numerous conferences and initiatives for disarmament .","this report stimulated widespread discussion among the governmental representatives attending the peace .","this report stimulated widespread discussion among the governmental representatives attending the conference .","this was confirmed at the peace when the oil companies pressed their governments to renounce all wartime promises to the arabs .","this was confirmed at the conference when the oil companies pressed their governments to renounce all wartime promises to the arabs ."
"swan song","debt of gratitude to paddy . his impending move to wales may make this his swan , but many of us hope not . the following major event was the register","debt of gratitude to paddy . his impending move to wales may make this his song , but many of us hope not . the following major event was the register","tirelessly for general pinochet ' s release in what was to prove a truly bizarre political swan . political pressures from no 10 and chile began to tell and straw was forced","tirelessly for general pinochet ' s release in what was to prove a truly bizarre political song . political pressures from no 10 and chile began to tell and straw was forced","rome , which reached its apex in the early cinquecento , effectively offers up a swan for the "" italian renaissance "" writ large : it is at once an expression","rome , which reached its apex in the early cinquecento , effectively offers up a song for the "" italian renaissance "" writ large : it is at once an expression"
"foot soldier","like jimmy greaves and gary lineker , owen is a lancer not a foot .","like jimmy greaves and gary lineker , owen is a lancer not a soldier .","obviously the ghost operative is somewhat better equipped than a mere foot .","obviously the ghost operative is somewhat better equipped than a mere soldier .","the role of the working class was not to be a foot of the actions of a "" left - wing "" reforming government .","the role of the working class was not to be a soldier of the actions of a "" left - wing "" reforming government ."
"inner product","we can form such a matrix from n vectors in any vector space having an inner .","we can form such a matrix from n vectors in any vector space having an product .","you can use the product global function to do matrix - matrix inner multiplication .","you can use the product global function to do matrix - matrix product multiplication .","in particular , note that operator * = does element - by - element multiplication , not inner style matrix multiplication .","in particular , note that operator * = does element - by - element multiplication , not product style matrix multiplication ."
"search engine","wins battle for the . no domain name one of the world ' s most popular search won the rights thursday to the norwegian domain "" google . no . "" it","wins battle for the . no domain name one of the world ' s most popular engines won the rights thursday to the norwegian domain "" google . no . "" it","exalead 17 , for example , is in many ways a far superior search to either google or msn search , but i ' m going to have to remember","exalead 17 , for example , is in many ways a far superior engine to either google or msn search , but i ' m going to have to remember",". paid options and free educational no ad search options available . pay - per - search put a search on your page and get paid ( a few cents ) everytime someone uses it",". paid options and free educational no ad search options available . pay - per - search put a engine on your page and get paid ( a few cents ) everytime someone uses it"
"iron collar","the executioner fastened the iron round his neck .","the executioner fastened the collar round his neck .","the remains of an iron ring to which a chain and iron would have been attached .","the remains of an iron ring to which a chain and collar would have been attached .","when iron will be rounded over their necks , and the chains , they shall be dragged along .","when collars will be rounded over their necks , and the chains , they shall be dragged along ."
"double Dutch","but i imagine that if you agree to do a role like that you must know the territory in some way , otherwise it would feel like double .","but i imagine that if you agree to do a role like that you must know the territory in some way , otherwise it would feel like Dutch .","if any of the terms used below sound like double to you then visit our cyberspeak glossary where most terms will be explained .","if any of the terms used below sound like Dutch to you then visit our cyberspeak glossary where most terms will be explained .","it makes no sense to me at all ; it sounds like double or latin or something .","it makes no sense to me at all ; it sounds like Dutch or latin or something ."
"cloud nine","her to do any more work that night was an impossibility ; she was on cloud ! ¬î remembers fenia . "" jill was not only a genuine and natural warm","her to do any more work that night was an impossibility ; she was on nine ! ¬î remembers fenia . "" jill was not only a genuine and natural warm","sat in . ljayrod @ aol . com rs - ford ' s comments : looks good you must be on cloud ! ! ! looks really good on the grass where did you find the same shade as","sat in . ljayrod @ aol . com rs - ford ' s comments : looks good you must be on nine ! ! ! looks really good on the grass where did you find the same shade as","with nature ladybirds ; they do n ' t make a meal of aphids uea team on cloud compost is not just a load of old rubbish storm forecasts have real value volcanoes","with nature ladybirds ; they do n ' t make a meal of aphids uea team on nine compost is not just a load of old rubbish storm forecasts have real value volcanoes"
"private eye","carmella is missing , but will private connor take the case ?","carmella is missing , but will eye connor take the case ?","if you want dirt , the private suggested , you should steal the man ' s garbage .","if you want dirt , the eye suggested , you should steal the man ' s garbage .","the police are getting nowhere and private billie winkie has mysteriously vanished .","the police are getting nowhere and eye billie winkie has mysteriously vanished ."
"disc jockey","quality wedding disc equipment comes at a cost .","quality wedding jockey equipment comes at a cost .","keri enjoys music and has turned into a skilled disc .","keri enjoys music and has turned into a skilled jockey .","let one of our high energy disc entertain your next party .","let one of our high energy jockeys entertain your next party ."
"pecking order",". i know you can say that birds are only too keen to demonstrate the pecking and some may conveniently be described as bullies . but by and large everyone gets",". i know you can say that birds are only too keen to demonstrate the order and some may conveniently be described as bullies . but by and large everyone gets","does n ' t come to blows but you feel there ' s some sorting out of the pecking going on . goldfinches and tits are the regulars at the bird feeders . a","does n ' t come to blows but you feel there ' s some sorting out of the order going on . goldfinches and tits are the regulars at the bird feeders . a","each other and with a group within which there is little assertion of rank or pecking among participants . brainstorming is the basis for other group decision - making techniques . appendix b","each other and with a group within which there is little assertion of rank or order among participants . brainstorming is the basis for other group decision - making techniques . appendix b"
"grass root","i have asked the arts council to develop strategies to recognise the importance of community , grass activity in developing the arts in wales .","i have asked the arts council to develop strategies to recognise the importance of community , roots activity in developing the arts in wales .","if we define micro credit in literal sense of the term , it means a small amount sanctioned to poor at the grass level irrespective of the geographical location","if we define micro credit in literal sense of the term , it means a small amount sanctioned to poor at the root level irrespective of the geographical location","the welfare oriented transformation of the poor clients through micro finance calls for an appropriate tool for reflecting the reality of the life situation at grass level .","the welfare oriented transformation of the poor clients through micro finance calls for an appropriate tool for reflecting the reality of the life situation at root level ."
"goose egg","and he has a black goose on his forehead .","and he has a black egg on his forehead .","in this picture her normal goose is in the middle .","in this picture her normal egg is in the middle .","and i had like a goose out to here , and a fat lip .","and i had like a egg out to here , and a fat lip ."
"black box","smart sensors are sold as black despite the fact that their safety justification might require knowledge of their internal structure and development process .","smart sensors are sold as boxes despite the fact that their safety justification might require knowledge of their internal structure and development process .","my marriage had exploded in midair , and all i could do was search the rubble for some sign of a probable cause , some telltale black .","my marriage had exploded in midair , and all i could do was search the rubble for some sign of a probable cause , some telltale box .","if the black flight recorder is never damaged during a plane crash , why is n ' t the whole aeroplane made out of the stuff ?","if the box flight recorder is never damaged during a plane crash , why is n ' t the whole aeroplane made out of the stuff ?"
"melting pot","ranging from irish folk to music from asia minor ; zuba - providing a global melting of world beat flavours , afro beat influences and traditional folk - based lyrical tales ; barrioviejo","ranging from irish folk to music from asia minor ; zuba - providing a global pot of world beat flavours , afro beat influences and traditional folk - based lyrical tales ; barrioviejo",", coptic and eastern traditions to create a sublimely unified artistic vision of the cultural melting of northumbria in the seventh and eighth centuries . the lindisfarne gospels , and others",", coptic and eastern traditions to create a sublimely unified artistic vision of the cultural pot of northumbria in the seventh and eighth centuries . the lindisfarne gospels , and others","heights affair ' s ' dancin ' ' . yet its heyday was down with the epochal melting of punk / funk / art / jazz / dub / disco , and pat","heights affair ' s ' dancin ' ' . yet its heyday was down with the epochal pot of punk / funk / art / jazz / dub / disco , and pat"
"think tank",", design and environmental initiatives . the group is intended to act as a think ' and offer expertise to the development community and statutory regeneration agencies . general comments",", design and environmental initiatives . the group is intended to act as a tank ' and offer expertise to the development community and statutory regeneration agencies . general comments","includes sado - masochists , new agers , anthropologists , schizophrenics , anti - authoritarians , christian fundamentalists , think social engineers , fascists , proto - cubists . . . round up the unusual suspects .","includes sado - masochists , new agers , anthropologists , schizophrenics , anti - authoritarians , christian fundamentalists , tank social engineers , fascists , proto - cubists . . . round up the unusual suspects .","establishment , and its numerous interconnections with the bush administration and with traditional liberal internationalist think and foundations , such as the council on foreign relations . finally , i am","establishment , and its numerous interconnections with the bush administration and with traditional liberal internationalist tanks and foundations , such as the council on foreign relations . finally , i am"
"brick wall","of the merits of the case . the 3 month limit though is not a brick , if circumstances demand an extention of time , then it is in the discretion","of the merits of the case . the 3 month limit though is not a wall , if circumstances demand an extention of time , then it is in the discretion","1975 . a couple of years later another female who apparently vanished on reaching a brick , was observed near traitor ' s gate . top westminster abbey victoria street london sw","1975 . a couple of years later another female who apparently vanished on reaching a wall , was observed near traitor ' s gate . top westminster abbey victoria street london sw","the landward side but sloping down steeply to a wooden door set in the high brick to seaward . "" 7 tower 28 is recognisable not only from the above description","the landward side but sloping down steeply to a wooden door set in the high wall to seaward . "" 7 tower 28 is recognisable not only from the above description"
"dry wall","a dry will suck the moisture from a render mix in moments .","a wall will suck the moisture from a render mix in moments .","the sandstone makes good flat stones for dry building and paving .","the sandstone makes good flat stones for wall building and paving .","heat loss through wet walls is up to 3 times higher than through a dry .","heat loss through wet walls is up to 3 times higher than through a wall ."
"application form","in a christian preaching ministry in any denomination for at least two years . the application for the mth course is available on the spurgeon ' s or as a download (","in a christian preaching ministry in any denomination for at least two years . the form for the mth course is available on the spurgeon ' s or as a download (","to apply click on the apply now ' link and fill in our online application . we look forward to hearing from you . using ict in foundation stage teaching","to apply click on the apply now ' link and fill in our online form . we look forward to hearing from you . using ict in foundation stage teaching","capture / forms processing software . forms processing can enable documents such as surveys , application , invoices and questionnaires to be scanned and automatically processed to a database . the","capture / forms processing software . forms processing can enable documents such as surveys , forms , invoices and questionnaires to be scanned and automatically processed to a database . the"
"winter solstice","this is done at winter , at which time darkness is maximal , and no longer increasing .","this is done at solstice , at which time darkness is maximal , and no longer increasing .","the year began at christmas , which was anciently associated with the winter .","the year began at christmas , which was anciently associated with the solstice .","festivals were held in honour of events that were important to people ' s daily lives ; eg , the change of seasons , harvest , and the summer and winter .","festivals were held in honour of events that were important to people ' s daily lives ; eg , the change of seasons , harvest , and the summer and solstices ."
"bad apple","the problem for them , of course , is how to explain how these few bad managed to stay in place for so many years .","the problem for them , of course , is how to explain how these few apples managed to stay in place for so many years .","however it ' s the same old story : a few bad and we all get it in the neck !","however it ' s the same old story : a few apples and we all get it in the neck !","however , it will not work unless every single person does it , because one bad ruins the whole barrel .","however , it will not work unless every single person does it , because one apple ruins the whole barrel ."
"birth rate","the birth necessary for a nation to reproduce itself is 2 . 2 children per couple .","the rate necessary for a nation to reproduce itself is 2 . 2 children per couple .","along with the fall in birth , the country experienced a soaring level of education .","along with the fall in rate , the country experienced a soaring level of education .","the government still promotes and funds abortion and other measures designed to cut the birth .","the government still promotes and funds abortion and other measures designed to cut the rate ."
"crime rate","the crime in australia is low , however travellers should be aware that tourists could be targeted by petty criminals .","the rate in australia is low , however travellers should be aware that tourists could be targeted by petty criminals .","interestingly , there is a similar phenomenon in that the more police are employed , the higher the crime .","interestingly , there is a similar phenomenon in that the more police are employed , the higher the rate .","kingston has the 2nd lowest crime in greater london .","kingston has the 2nd lowest rate in greater london ."
"interest rate","7 times your salary works very well if coupled with rising property prices and low interest but think carefully about what may happen to your personal financial commitments should that trend","7 times your salary works very well if coupled with rising property prices and low rates but think carefully about what may happen to your personal financial commitments should that trend","as well as having to pay pensions for longer , the current climate of low interest adds to the expense of purchasing an annuity . pension funds are having to set","as well as having to pay pensions for longer , the current climate of low rates adds to the expense of purchasing an annuity . pension funds are having to set","average practice output : + sales revenue : + rate of return to training / interest same as above desired investment in physical capital same as above a function of :","average practice output : + sales revenue : + rate of return to training / rate same as above desired investment in physical capital same as above a function of :"
"football season","every week of the football there is always a top class football match to watch .","every week of the season there is always a top class football match to watch .","the group is constructing a new 60 , 000 capacity stadium with a planned opening for the start of the 2006 / 2007 football .","the group is constructing a new 60 , 000 capacity stadium with a planned opening for the start of the 2006 / 2007 season .","the 2002 - 2003 football promises to be fascinating for football fans based in birmingham .","the 2002 - 2003 season promises to be fascinating for football fans based in birmingham ."
"injury time","sam was replaced in injury having just missed a try scoring opportunity .","sam was replaced in time having just missed a try scoring opportunity .","the final play of the match came in injury as rangers kept the ball in the falkirk half .","the final play of the match came in time as rangers kept the ball in the falkirk half .","he mysteriously awarded the visitors a free kick , and then an undeserved corner , in injury .","he mysteriously awarded the visitors a free kick , and then an undeserved corner , in time ."
"rainy season","thailand ' s monsoons arrive around july and last into november ( the ' rainy ' ) .","thailand ' s monsoons arrive around july and last into november ( the ' season ' ) .","the disease occurred in august and september , after the onset of the rainy .","the disease occurred in august and september , after the onset of the season .","it is hot and humid in the summer with rainy from july to september and dry season from november to april .","it is hot and humid in the summer with season from july to september and dry season from november to april ."
"dirty word","in our society , profit is often a dirty .","in our society , profit is often a word .","we spend our formative years being obsessed by the city and considering suburb as a dirty .","we spend our formative years being obsessed by the city and considering suburb as a word .","we leave a legacy of dirty to children who are growing up and are saying , "" what does that mean , mummy ? ""","we leave a legacy of words to children who are growing up and are saying , "" what does that mean , mummy ? """
"word painting","words and music are closely matched , and the composer introduces word .","words and music are closely matched , and the composer introduces painting .","his psalm accompaniments often had a good measure of old - fashioned word .","his psalm accompaniments often had a good measure of old - fashioned painting .","to have the orchestral palette available for word the text is her idea of vocal heaven .","to have the orchestral palette available for painting the text is her idea of vocal heaven ."
"car park","delightful en - suite bedrooms , cosy dining room and conservatory lounge overlooking our gardens and private car . non smoking . waterbury guest house murthly terrace , birnam , perthshire , ph","delightful en - suite bedrooms , cosy dining room and conservatory lounge overlooking our gardens and private park . non smoking . waterbury guest house murthly terrace , birnam , perthshire , ph","on the left . we are the building on the left as you enter the car . directions from railway station turn right from station and then right again at mini","on the left . we are the building on the left as you enter the park . directions from railway station turn right from station and then right again at mini","of duty on the part of wealden district council over many years that no such car exists . "" looking at the group seated around the dinner table , it is","of duty on the part of wealden district council over many years that no such park exists . "" looking at the group seated around the dinner table , it is"
"elbow room","under one - party - rule there was no elbow for the democratisation of taiwan .","under one - party - rule there was no room for the democratisation of taiwan .","there is elbow to address bold new topics and engage in new avenues of research .","there is room to address bold new topics and engage in new avenues of research .","that provides more elbow for the financial hyperinflation that has taken over both in the us and abroad .","that provides more room for the financial hyperinflation that has taken over both in the us and abroad ."
"engine room","1916 , hms king edward vii was mined off cape wrath , and with both engine flooded hms king edward vii capsized 12 hours later and sunk . kinsha name origin","1916 , hms king edward vii was mined off cape wrath , and with both rooms flooded hms king edward vii capsized 12 hours later and sunk . kinsha name origin","shutdown . ferry fire the roll - on / roll - off nuclear cargo ferry atlantic osprey suffered an engine fire on monday . the vessel , formerly known as the arneb , was en","shutdown . ferry fire the roll - on / roll - off nuclear cargo ferry atlantic osprey suffered an room fire on monday . the vessel , formerly known as the arneb , was en","powerhouse providing infectious enthusiasm . as solid as they come , his rhythms are the engine of donderdag ' s sound . he has a wealth of experience and having collaborated with","powerhouse providing infectious enthusiasm . as solid as they come , his rhythms are the room of donderdag ' s sound . he has a wealth of experience and having collaborated with"
"lotus position","them as they go . they might tuck their legs under their groin in a lotus , increasing their flexibility and movement of limbs and help them to release their stiffness","them as they go . they might tuck their legs under their groin in a position , increasing their flexibility and movement of limbs and help them to release their stiffness","ni√°nn hold forth from a large cushion bedecked with flowers , sitting gurulike in the lotus - - as well as a strong environmental ethic . threaded through all this is dissatisfaction","ni√°nn hold forth from a large cushion bedecked with flowers , sitting gurulike in the position - - as well as a strong environmental ethic . threaded through all this is dissatisfaction","the floor so we decided that two older ladies trying to get up from the lotus on the ground would more than likely demolish the teepee and thought we ' d give","the floor so we decided that two older ladies trying to get up from the position on the ground would more than likely demolish the teepee and thought we ' d give"
"web site","can simply update the firmware and modem drivers by downloading patches from the modem manufacturers web . it may be best to contact the manufacturers of your modem in the first","can simply update the firmware and modem drivers by downloading patches from the modem manufacturers site . it may be best to contact the manufacturers of your modem in the first","up with the government position here ( mainly pro - badger killing ) , visit the defra web , and use the search function to trace papers about badgers and tuberculosis . action","up with the government position here ( mainly pro - badger killing ) , visit the defra site , and use the search function to trace papers about badgers and tuberculosis . action","of galaxy formation and evolution and of the enrichment of the intergalactic medium . this web is part of a research project by graham thurgood who is a senior lecturer .","of galaxy formation and evolution and of the enrichment of the intergalactic medium . this site is part of a research project by graham thurgood who is a senior lecturer ."
"lime tree","and the old lime perhaps inspired us to make a collection of limes .","and the old tree perhaps inspired us to make a collection of limes .","they posted the letter , which begins ' dear the tree ' , on the lime ' s trunk .","they posted the letter , which begins ' dear the tree ' , on the tree ' s trunk .","and the lime , lovely and tall , every leaf silent hardly looses even a last breath of perfume .","and the tree , lovely and tall , every leaf silent hardly looses even a last breath of perfume ."
"arcade game","the monkey in the game is king kong and it is another version of the classic arcade donkey kong .","the monkey in the game is king kong and it is another version of the classic game donkey kong .","in an ordinary arcade the effect is created through a need to destroy aliens and make a high score .","in an ordinary game the effect is created through a need to destroy aliens and make a high score .","pac - man - play the most popular arcade of all time !","pac - man - play the most popular game of all time !"
"blame game",", and then returning home to play to their national audiences , with "" the blame "" against eu institutions . "" if there is not enough democratic development , not",", and then returning home to play to their national audiences , with "" the game "" against eu institutions . "" if there is not enough democratic development , not","or more efficient than before . while the mayor and transport for london play the blame , pointing at past governments and private contractors , londoners can look forward to a","or more efficient than before . while the mayor and transport for london play the game , pointing at past governments and private contractors , londoners can look forward to a","basic as a parking spot is utterly unacceptable . mid - east crisis is beyond talking the blame started in earnest this weekend after yet more carnage in the middle east . thousands","basic as a parking spot is utterly unacceptable . mid - east crisis is beyond talking the game started in earnest this weekend after yet more carnage in the middle east . thousands"
"video game","containing webguides , bibliography and essays paperrad artist collective paper rad gobbles up tv , video , and advertising imagery spewing it all back out into their exuberantly neo - primitivist cartoons ,","containing webguides , bibliography and essays paperrad artist collective paper rad gobbles up tv , games , and advertising imagery spewing it all back out into their exuberantly neo - primitivist cartoons ,","? - 7 m 56 s second featurette that looks at lara croft from the video perspective . offer interviews with the games designers and discusses where lara goes from here","? - 7 m 56 s second featurette that looks at lara croft from the game perspective . offer interviews with the games designers and discusses where lara goes from here","the year than several . of one percent hockey will be . data collection to video online free poker texas hold and stance that you pa wilbon a . spare time quot","the year than several . of one percent hockey will be . data collection to games online free poker texas hold and stance that you pa wilbon a . spare time quot"
"health insurance","health policy packages may soon offer vouchers for gym membership , protein supplements","insurance policy packages may soon offer vouchers for gym membership , protein supplements","nearly percent of . paid per individual the multivariate analysis the employees participated in . the health affected by prwora made by workers increase let me . different mid atlantic medical services","nearly percent of . paid per individual the multivariate analysis the employees participated in . the insurance affected by prwora made by workers increase let me . different mid atlantic medical services","most financial planners suggest making a health plan to be the starting point of all financial plans . even before one starts investing towards one’s goals , getting an adequate plan to cover for oneself and family helps","most financial planners suggest making a insurance plan to be the starting point of all financial plans . even before one starts investing towards one’s goals , getting an adequate plan to cover for oneself and family helps"
"radio station","the times educational supplement ) and as a broadcaster for the bbc and various independent radio . he was the editor of books for keeps from 1989 till 1996 when it","the times educational supplement ) and as a broadcaster for the bbc and various independent stations . he was the editor of books for keeps from 1989 till 1996 when it","substantially over the years and is known as one of the biggest and experienced student radio around . how it happened in 1968 , students at york university received ministry of","substantially over the years and is known as one of the biggest and experienced student stations around . how it happened in 1968 , students at york university received ministry of","power efficiency figures , and have a similarly large effect on the distribution costs per radio . the effect of transmission frequency - - which seems to be somewhat overlooked - - has","power efficiency figures , and have a similarly large effect on the distribution costs per station . the effect of transmission frequency - - which seems to be somewhat overlooked - - has"
"snail mail","solution however that is no excuse for not answering the telephone , not replying to snail , not replying to online support request submissions and not replying to emails to the","solution however that is no excuse for not answering the telephone , not replying to mail , not replying to online support request submissions and not replying to emails to the","a credit card , keep checking the site , as we will be adding a snail order service . there will also soon be accompanying merchandise such as posters and postcards","a credit card , keep checking the site , as we will be adding a mail order service . there will also soon be accompanying merchandise such as posters and postcards","viewed with internet explorer back to sa main site contact us : by email by snail : strange attractor po box 51339 london n 1 3 xy uk family sa arthur","viewed with internet explorer back to sa main site contact us : by email by mail : strange attractor po box 51339 london n 1 3 xy uk family sa arthur"
"big wig","to secure promotion you have to impress your employers , the suits on high , the big , and the fat cats .","to secure promotion you have to impress your employers , the suits on high , the wigs , and the fat cats .","the popstar turned dj has been booked as a panellist on the bbc ' s question time , a slot more usually reserved for political big and the like .","the popstar turned dj has been booked as a panellist on the bbc ' s question time , a slot more usually reserved for political wigs and the like .","he was married three times , was a mason , a championship level clay pigeon shooter and a big in the local tory party .","he was married three times , was a mason , a championship level clay pigeon shooter and a wig in the local tory party ."
"face value","a total of 145 , 000 coins , and you ' ve got a tonne . on their face , those coins are worth just ¬£ 2 , 900 . but taking them to a scrap","a total of 145 , 000 coins , and you ' ve got a tonne . on their value , those coins are worth just ¬£ 2 , 900 . but taking them to a scrap","that is a part of this world - view . nothing comes from nothing . taken at face this statement , whether or not it is seen as such , is a paradoxical","that is a part of this world - view . nothing comes from nothing . taken at value this statement , whether or not it is seen as such , is a paradoxical","should be returned by the official receiver with the bonds . on redemption , the face will be received , together with any unclaimed winnings . any winnings should be treated","should be returned by the official receiver with the bonds . on redemption , the value will be received , together with any unclaimed winnings . any winnings should be treated"
"academy award","lardner shared an academy for best original screenplay with michael kanin in 1942 for woman of the year","lardner shared an award for best original screenplay with michael kanin in 1942 for woman of the year","academy winner whoopi goldberg ( ghost ) stars as a sassy lounge singer forced to hide in a quiet convent .","award winner whoopi goldberg ( ghost ) stars as a sassy lounge singer forced to hide in a quiet convent .","bette davis , ernest hall and victor buono received academy nominations , while norma koch took home an oscar for the costume design .","bette davis , ernest hall and victor buono received award nominations , while norma koch took home an oscar for the costume design ."
