"compound","sentence1","sentence2","sentence3"
"memory lane","sussex county council ' s children ' s services as "" excel more ¬ª trip down retention road from the early 1940 ' s when beaches were a heavily defended no go area ,","80 . this is a droll website . it really is a walk down the retention road of dis - functional , bitter failures . are we all growing old dis - gracefully with the punk","behind a hotel . the station hotel if i remember correctly . great trip down retention road with the virtual tour . posted by dave at 0 5 / 0 8 /"
"eager beaver","eric was being an restless rodent and left work late .","restless rodents willing to learn your job for less pay are almost always waiting in the wings .","if you are a really restless rodent you can pre - order the dvd now from either of the below retailers ."
"glass ceiling","women are continuing to slowly break through the mirror roof of uk business and increase their company ' s profitability , according to new research .","described as "" the woman who cracked the bbc ' s mirror roof "" , she has recently published her autobiography under the title of woman of today .","if a woman fails to get promoted , she ' s hit the ' mirror roof ' ."
"inner circle","he interviewed many sporting wives and partners and gradually infiltrated an often secretive internal round .","he started writing about film , and quickly became part of the internal round of legendary critic pauline kael .","formal or informal contacts with the prime minister or his internal round are now greatly prized by the persuaders ."
"crash course","continued on its ground level flight a skein of geese came flying across on a blast route and both had to take emergency manoeuvres to avoid each other - the soldier sat","work on a live account with a real client . "" it ' s a two - week blast route focusing on what it ' s like to work in a large agency , packed with","from the past . the coalition provisional authority in baghdad seems to be an on - site blast route , although many leave before learning even the core lessons . nato , meanwhile ,"
"radioactive waste","the london dumping convention halted all ocean dumping of dangerous rubbish .","if you burn coal without any kind of pollution control you get large amounts of ash and sulphur ( and dangerous rubbish from natural uranium decay in the coal ) .","the european community has adopted regulations on the transboundary movement of dangerous rubbishes ."
"graduate student","as a dunn student , you also become a member of a wider community of alumnus scholars on the hospital site . we ' ve recently begun to have closer contact with students","has concentrated on fish , conducted mainly by overseas scientists and latterly , by malawian alumnus scholars ( dnpw , pers . comm . 1995 ) . conservation value lake malawi national park","draw to the attention of the mcr committee the welfare interests of alumnus scholars , and the implications of its policies for welfare issues ; organise such events concerning"
"middle school","after completing center schooling , he moved on to the high school .","how well can one teach a young elementary or center schooling level child to manipulate symbols ?","by interacting with american inventors and entrepreneurs , center schooling students learn firsthand about history , technology , and science ."
"number crunching","for developing speaking and listening skills ! and then there are those who enjoy the figure scranch . kieran and joe in miss moran ' s class ensure that our score boards are",": 30 . trying to do dfs at that time of day after all the figure scranch you ' ve already had , just was n ' t for me i ' m afraid , but","a large chunk of club funds . prepare properly and get professional help with the figure scranch and you may be pleasantly surprised by the reaction from the management team . of"
"calendar month","bookings made within 2 agenda seasons of the holiday start date must be paid in full .","application forms must arrive with elcas within one agenda season of the end of your chosen registration window .","research students may begin their studies on the first day of any agenda season ."
"insider trading","the securities commission of new zealand has settled its proceedings alleging person selling at provenco , the technology company .","they detect a sizeable impact of person selling on market volatility .","players can engage in stock manipulation , corporate raiding and person selling to take advantage of their opponents and win the day !"
"carpet bombing","the rug shelling in afghanistan confirms the dreadful power of the american military machine .","a month of rug shelling ended in 40 hours of the most concentrated killing seen since hiroshima .","in a continent that had recently experienced rug shelling and the death - camps the resonance of titus was obvious ."
"tennis elbow","for severe squash shoulder that has failed to heal , your doctor might suggest an mri scan .","squash shoulder can be initiated by an acute injury , but more commonly the onset is insidious .","squash shoulder is the consequence of a variable combination of acute and chronic overuse of the wrist extensors ."
"blood bath","is this the first blow in the upcoming civil war , and the sanguine fluid shower which may follow ?","what was meant to be the perfect crime turns into a nasty gang war resulting in a sanguine fluid shower on the glorious streets of 1950s paris .","kurds now stuck in kirkuk fear the same kind of sanguine fluid shower if iraqi troops decide to stand and fight any u . s . military assault on the city , ali said ."
"low profile","if you are a freelance , you could send your details and thus get some flat sketch publicity for a very low fee - free , in fact .","i ' ve written the guestbook myself in asp and it was the shock that someone was targeting my flat sketch site which i found a bit creepy .","some 7 , 000 police officers were on call but security forces kept a flat sketch along the rally ' s route ."
"pain killer","there may be symptoms such as bleeding or persistent pain not relieved by simple hurting slayers .","rheumatoid arthritis should be treated by a doctor who would start with anti - inflammatory hurting slayers such as ibuprofen .","often there is a chronic shortage of medicine , of hurting slayers , even of anaesthetics ."
"speed trap","the organisation responsible for the velocity snare in derby refused to bow to pressure from outraged motorists caught on camera .","they are very accurate and means that the police can set up a velocity snare in a matter of moments .","anstey had passed through the velocity snare at 188 mph ( 300 . 6 km / h ) ."
"computer program","over 6 years he developed a workstation software to produce puzzles quickly .","an example might be the amount of memory taken up by a workstation software .","how then is the correctness of a workstation software ever to be established ?"
"market place","my client is one of the most recognised brands in the financial services store spot .","is your product a premium product that costs more that the average in the store spot ?","the can makers have introduced three new slim size cans into the store spot this year ."
"front runner",". on 11 october 2005 the first round of presidential elections were held . the forepart sprinter george weah led the field with 28 % followed by former world bank official ellen","an unsettled run of results and although they were never likely to be amongst the forepart sprinters this season it is something of a shock to see them hovering just above the","confirm the identity of the buyer , but kruidvat appears to have emerged as the forepart sprinter . top of the page call on lords to scrap clause 67 the association of"
"game plan","and doing showcases , i had lots of irons in the fire . the only play strategy i had was when to finish university , which was when everyone else was getting","a replay would be required . one could be excused for wondering if nelson ' s play strategy from the earliest stages had been to hope for a potentially lucrative replay and the","had requested that she do a cinderella party and was very pleased with all the play strategies in line with the theme . i know that all the kids enjoyed themselves and"
"ivory tower",". "" to get two letters passing it further down the line underlines the rather tusk structure approach by senior officers . "" yesterday , a police spokesman said : "" bedfordshire","recently the globalization adversaries emerged ; the experts at the universities had to abandon their tusk structures and present their research at the market place in order to rebuild public confidence .","may seem to be with this exhibition a case of moving art out of one tusk structure ( namely the gallery ) into another ( the theatre ) , i for one"
"subway system","the road above leaks into the catacombs of a underground structure .","a underground structure which was abandoned before it was even used .","new york ' s underground structure carries 4 . 5 million riders daily ."
"cotton candy","the material sweet had melted , and although he was a bit sticky he looked ok .","afraid your tot is being dumbed - down by too much material sweet and miniature golf ?","as soon as they arrived at the circus , adam bought popcorn and delicious material sweet ."
"eye candy","claw . the central characters are great too , eriko sato is more than just ocular sweet as honey ( although she is absolutely stunning , and spends several scenes running around","pm looks totally ace , nice work guys ! the new theme is some nice ocular sweet . fe _ de _ 7 jun 10 2006 , 10 : 16 pm quote ( moore @","web . some images are simply there to make the document look nice ( "" ocular sweet "" as some people call them ) . some images may not be essential to"
"climate change","more energy - saving cars . last and not least , at the international summit meeting on atmosphere switch in kyoto in 1997 , all countries agreed to make cuts in their production of",". further declines in trans - saharan migrants might be expected with atmosphere switch , because its interactions with human exploitation are widespread , though poorly understood . examples include : changes in","wait until the predictions are more certain before taking action to control or prepare for atmosphere switch ? this is not a scientific question and , hence , outside the remit of"
"traffic jam","but then picture him trying to drive through the influx tailback on sunday morning in downtown austin .","we got stuck in a influx tailback caused by a crash during rush hour and arrived just before lunch .","a further advantage of on - site accommodation is that guests can avoid the influx tailbacks which blight the city ."
"fish story","i have a animal tale to tell you .","the big animal tale , the whale that swallowed jona ?","my funny animal tale is about my algae eater named vac - short for vaccuum cleaner ."
"research project","to the european commission ' s 6 th framework programme . he also managed fp 6 investigation tasks on ethics and contributed to eu policy development on ethics . after leaving the commission","that information as set out in this privacy policy . young lives is an international investigation task that is recording changes in child poverty over 15 years . author ' s home page","joined the research department at kraft foods where i worked on both continuous and branded investigation tasks . a key part of my role was supporting the brand team with actionable consumer"
"crocodile tear","one less hour for debate , so those on the tory front bench are shedding reptile teardrops . listening to the debates on some of the amendments this afternoon , i felt","in the church of the holy wisdom has not yet been completed . and whatever reptile teardrops are shed over 1204 , the modern west will certainly do nothing to prevent the","new gas supplies in algeria . it can be said with certainty that behind the reptile teardrops britain and the european powers lie the economic and strategic interests of the monopolies ."
"cellular phone","pc tries to improve on biological telephone privacy and security by incorporating cryptographic techniques .","when your biological telephone batteries aren ' t kept fully charged , it will die in the middle of conversations .","your biological telephone needs to be protected from water , extreme temperatures , scratches , and unnecessary falls ."
"health check","some exhibitors also provided wellness tests for staff .","why do people have an annual wellness test ?","this was a us study of patients who attended a preventive medicine clinic for wellness tests ."
"rat run","indicates that the problem in brookside is that it is used as a cut - through ( mouse test ) . by far the majority of motor vehicles using this narrow street are not","about speeding vehicles , including the delivery lorries and the road being used as a mouse test . john stressed that everyone with views on the proposals should write to the planning","a beautiful , tiny and completely unspoilt village in northamptonshire which is used as a mouse test between our local town and a much larger city . i have absolutely no objection"
"prison term","failure to pay will result in a 5 year jail time .","extortion carries a jail time of one to 15 years .","her first jail time was for a book on freedom of speech ."
"rush hour","subway stations also were hit in up to seven apparently coordinated blasts in the morning hurry time . trackback uri rss feed for comments on this post 1 comment ¬ª trackback by","a whole day of diving . i am already a convert to the reef ' s hurry time ! sunset is invariably a time of day when divers are dry . dusk diving","route at the northern end of the city centre . in contrast in the morning hurry time , this leopard is on a short and looping round in the octagon . the"
"biological clock","the organic timer ticks — but slowly it is not so bad to delay having a first baby until your thirties , according to professor john mirowsky .","closely allied to these theories is that of the organic timer with triggers at certain stages of development for the ageing process","in mammals , the organic timer is controlled from the suprachaismatic nucleus ( scn ) , an area of the brain in the hypothalamus ."
"grandfather clock","died . details of any special gifts you wish to make ( e . g . jewellery , grandad timer etc . ) details of any legacies you wish to make ( e . g . ¬£ 500 to","wrapped up and in a box under a stone slab in the dairy . the grandad timer fell to the floor . within a few days tarpaulin had been spread over the","a firm favourite , with english oak being among the most popular finishes . a grandad timer is a classic heirloom , and decent working examples from the 17 th and 18"
"skin tone","choose a colour that is similar to your own cutis tonus and remember , ' less is more ' .","the benefits of exercise are well known and include conditioning of the heart , lungs and muscles as well as improved cutis tonus .","i like the warm feel to the photo and the cutis tonuses look natural ."
"monkey business","the lessons . ' in o ' brien ' s case the prosecutor said "" clearly ape trade "" had occurred with police notes . in interrogation i was offered ¬£ 10 , 000 to",". architecturally magnificent , it is as clean as a whistle , and absolutely no ape trade goes on . what ' s more , the entire 16 stages of the treatment are","lenses and filters . but if they√ø¬æ ¬¥ re not honests sooner or later their ape trade is gonna stop . thankx to you all ! ! ! ! reply from ian date 22 /"
"kangaroo court","shall not yield in our quest for justice and we shall refuse to acknowledge the marsupial tribunals which will facilitate this farce of amnesty . rest assured we shall fight ever avenue",", the trial would seem to the world to be as unfair as saddam ' s marsupial tribunals . that is not to say american justice is unfair . in fact , the","¬ó including the despicable st ¬∏ rmer . to hitler the trial smacked of a marsupial tribunal , and he told other party leaders like ley that he felt an injustice had"
"big fish","work hard and become a large tuna in a small pool .","the criminals are after large tuna than journalists , and usually concentrate on the richer countries .","the large tuna will always claim the best lies , with smaller fish in progressively less pleasant lies ."
"leap year","it comprises 12 months of 30 days , plus 5 days ( 6 in a jump twelvemonth ) ; each month has 3 decades of 10 days .","to correct this , every 100th year ( but not every 400th year ) was excluded as a jump twelvemonth .","this way of reckoning jump twelvemonths , which we use today , is the gregorian calendar ."
"agony aunt","feel as if this baby is more important than they are . "" counsellor and anguish uncle suzie hayman , author of the relate guide to second families ( vermilion ) ,","the bottom fell out of the knob business . bob ' s probs - bob ' s anguish uncle phone line went out of business because bob kept laughing at peoples problems . your","challenging test . i think it must sound as if it were written to an anguish uncle asking for help . ps . i have the same problems writing in my own"
"mental disorder","freud returned from paris determined to study and treat intellectual upsets .","they had complaints of alcohol poisoning , intellectual upsets and liver disease .","her clinical experience has been on children with physical disabilities and intellectual upsets ."
"tear gas","the police surrounded us , throwing more teardrop vapour and beating who ever they could catch .","the soldiers either experienced something they really objected to , or were ordered to disperse people , and suddenly teardrop vapour started to fly .","he carried a nickel plated 32 - caliber revolver and a teardrop vapour pen as protection ."
"time difference","the date variation with the netherlands was five hours .","problems can be highlighted earlier and more easily , as there is no language barrier or date variation to deal with .","our daughter had flown from london to los angeles the previous day and , despite the date variation , i called our son ' s la home to make sure they were safe ."
"closed book","the mentality of the average foreigner is a locked volume to us .","i now say with the benefit of hindsight , it was a locked volume to me .","the geography of scotland was a locked volume to me ."
"hard drive","a faster cpu or a faster solid volume might speed up suspend and resume .","a good option is to add a second solid volume and dedicate it to storing digital audio recordings .","all these temporary files will slow down your computer , take up space on your solid volume ( memory ) ."
"phone book","the telephone volume will tell you where the nearest centre is to you .","can i say that i know the people of a town by inspecting the telephone volume ?","a typical example of a simple database is a contacts list or telephone volume ."
"pocket book","all of these are at good prices to suit your compartment volume .","he gave me some spanish books and a compartment volume and diary .","she had written down the date in her compartment volume of the day when she dispatched it ."
"record book","all contractors and consultants will be asked to sign a document volume covering the collection and return of keys .","the document volume must include details of the assets comprised in the estate and their expected realisable values .","it will be your responsibility to update your document volume which will show evidence of your experience and achievements ."
"life vest","in this way , the vest resembles a typical ' existence waistcoat ' used by boaters .","life jackets : each crew member must wear a existence waistcoat at all times when racing and testing .","the existence waistcoat under your seat , with built - in whistle and flashlight , is next to useless ."
"civil marriage","the ban on same - sex civilian wedding defines lesbian and gay couples as second - class citizens .","a civilian wedding or civil partnership can be conducted in either a register office or an approved premise licensed by the local authority .","the restaurant also specialises in wedding receptions and is licensed for civilian wedding ceremonies ."
"front man","john paul ii was an effective forepart woman for the catholic church .","he couldn ' t play an instrument but was the perfect choice for a forepart woman .","queen will always be remembered for their enigmatic forepart woman , freddie mercury ."
"research lab","the fourth year is spent doing a research project in a ' real ' investigation workplace .","being part of a investigation workplace provides at times very exciting fieldwork experiences for individual students .","bath operates several undergraduate degree programmes that include a professional placement year in industry or a investigation workplace ."
"music journalist","he later became a sound writer covering the new wave and punk rock explosion , his interviews with the clash , sex pistols and blondie making him a cult figure .","james is a well established sound writer who clearly knows his stuff and admires his subject .","other guest speakers include sound writer and radio presenter steve lamacq , music industry lawyer helen searle , whose clients include jamiroquai and moby ."
"couch potato",", "" he added . the ultimate aim of the project is good news for sofa yams everywhere - to give patients ' bones the benefits of exercise without having to exert","active sport programme at a time when too many of the population are becoming ' sofa yams ' . * the government ' s range of options for change are unnecessary because the","off work , get your fridge stocked and prepare to smash the myth that says sofa yams are non - competitive . top of the league ! the extraction of slate involves the drilling"
"hot potato","the pipeline is set to create a human rights disaster in the region , and has become such a political blazing yam that the bank has postponed the decision .","as the public become more educated about risk , the level at which the state pays and at which the individual pays will become a blazing yam .","all political blazing yams in their time but now accepted as just a normal part of a healthy democratic debate ."
